Country name,Happiness Rank,Happiness score,Upperwhisker,Lowerwhisker,Economy (GDP per Capita),Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Ivory Coast,85,5.23,5.38,5.09,0.54,0.8,0.15,0.4,0.17,0.09
Maldives,87,5.2,5.34,5.06,0.94,1.4,0.91,0.55,0.22,0.07
Cameroon,98,5.08,5.22,4.95,0.5,0.9,0.27,0.44,0.2,0.05
Armenia,116,4.68,4.79,4.56,0.81,1.03,0.78,0.38,0.11,0.1
Italy,30,6.39,6.47,6.3,1.24,1.35,1.02,0.32,0.17,0.04
Nigeria,115,4.72,4.83,4.62,0.65,0.99,0.17,0.44,0.22,0.05
Croatia,79,5.5,5.58,5.43,1.11,1.31,0.9,0.38,0.11,0.01
Malaysia,82,5.38,5.48,5.29,1.17,1.17,0.79,0.6,0.27,0.06
Czech Republic,19,6.91,6.99,6.83,1.21,1.41,0.89,0.51,0.05,0.05
Ireland,16,7.09,7.17,7.02,1.45,1.47,0.98,0.59,0.3,0.37
Belgium,20,6.86,6.93,6.8,1.3,1.4,0.96,0.5,0.15,0.21
United Kingdom,13,7.16,7.24,7.09,1.27,1.46,0.98,0.53,0.37,0.32
Luxembourg,10,7.24,7.3,7.18,1.54,1.39,0.99,0.61,0.2,0.37
Poland,43,6.19,6.26,6.12,1.17,1.31,0.87,0.56,0.06,0.16
Philippines,52,6.01,6.1,5.91,0.78,1.25,0.6,0.62,0.13,0.13
Moldova,70,5.61,5.69,5.52,0.71,1.24,0.71,0.39,0.17,0.01
Iraq,110,4.78,4.94,4.63,0.98,1.01,0.53,0.28,0.15,0.07
Madagascar,137,4.17,4.28,4.05,0.24,0.82,0.5,0.19,0.19,0.08
Pakistan,66,5.69,5.79,5.6,0.62,0.87,0.47,0.41,0.23,0.12
Morocco,97,5.09,5.2,4.99,0.76,0.65,0.75,0.45,0.04,0.08
North Cyprus,76,5.54,5.64,5.44,1.21,1.18,1.03,0.48,0.2,0.2
Liberia,124,4.56,4.72,4.4,0.17,0.92,0.39,0.41,0.23,0.05
Brazil,32,6.38,6.46,6.3,0.95,1.36,0.77,0.48,0.13,0.11
Paraguay,67,5.69,5.79,5.59,0.9,1.37,0.74,0.59,0.2,0.07
Honduras,56,5.95,6.08,5.82,0.6,1.19,0.79,0.57,0.26,0.09
Singapore,31,6.38,6.44,6.31,1.52,1.4,1.14,0.64,0.22,0.53
Saudi Arabia,27,6.41,6.52,6.3,1.33,1.31,0.76,0.55,0.09,0.16
Swaziland,132,4.31,4.45,4.17,0.83,1.06,0.22,0.3,0.07,0.15
Ethiopia,136,4.19,4.26,4.11,0.32,1.0,0.48,0.41,0.23,0.12
Slovakia,37,6.28,6.36,6.2,1.19,1.42,0.85,0.42,0.12,0.01
Mali,114,4.73,4.86,4.6,0.35,0.97,0.23,0.38,0.17,0.06
